what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330054618169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054619320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054621674
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330054621793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054629695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054939432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054940742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054981685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054983821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054984423
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330054985333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054986048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330054997891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055006613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055011483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055019002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055177752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055183163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055186126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055190484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055191805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055206265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055211902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055213831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055215656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055221571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055230692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055231661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055233349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055235264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055252789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055255882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055266039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055266602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055268245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055269814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055274668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055285285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055291729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055324044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055330510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055332429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055347425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055348126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055363979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055364679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055367245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055405826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055412975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055416844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055425668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055436797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330055451862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055453549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055467285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055471501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330055474554
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330055475923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055477091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055479619
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330055481272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055481282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055517224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055532431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055545739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055546324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055589349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055593094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055597663
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055601186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055603664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055606647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055611072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055614830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055617498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055621103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055622372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055624654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055626258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055627660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055628786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055640886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055651146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055651720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055652849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055653745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055655183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055663661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055699592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055702213
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055704349
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055706087
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055709542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055720006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055740428
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055743107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055743555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055773144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055774126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055782102
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055783971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055786817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055787305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055824638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055825235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055825709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055828387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055829166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055837824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055846877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055854858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055857866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055862319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330055866743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330055911216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055930823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055935451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055936204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055936607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330055937039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330055939569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055940617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055941275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055942984
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330055978169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055978437
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330055978997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330055993044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056118390
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1330056123728
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1330056123760
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1330056124714
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1330056125002
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1330056125472
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1330056125712
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1330056125949
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1330056126155
