what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443113053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443115305
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329443117764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443117773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443121167
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329443123318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329443129020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443129451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443130654
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329443131613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443132725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443135115
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329443136819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443136828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443139341
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329443148451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329443201268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443204307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443492899
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329443495165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443504323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329443506790
