what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703285808
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703285824
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703288522
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703288522
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703290348
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703291615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703294962
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703296114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703297190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703299947
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703300184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703300678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703310176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703311109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703311679
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703323970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703330879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703333068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703357589
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703361461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703361613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703363804
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703363843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703373170
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703374004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703375002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703377804
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703378164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703379063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703458368
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703461436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1329703463076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329703469199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703471104
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703472119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703473083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703475975
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703476256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703476511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703493726
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703495359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703500151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703520034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703523910
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703524687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703525745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703528926
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703529166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703529634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703537662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703543995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703544670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703549739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703562007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703566090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703567354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703579395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703580799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703582166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703584270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703585162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703586119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703587044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703588015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703589088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703589910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703590647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703591967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703593956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703595557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703596967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703598031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703600357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703601631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703602951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703604294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703606173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703608125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703609586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703610720
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703613747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703617458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703618981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703626693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703628165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703632683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703633753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703643425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703645567
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703651400
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703653305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703656627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703660013
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703662448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703662529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703664473
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703664487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703666534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703667502
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703667516
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703672202
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703674423
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703675783
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703676876
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703679228
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703679479
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703679497
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703681583
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703681583
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703682835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703695774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703788757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703789481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703795992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703803352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703804778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703805446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703830972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703836667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703838942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703842466
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703844473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703847117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703849655
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703849887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703850795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703868343
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703877718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703882465
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703883519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703884605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703887070
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703887361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703887722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703904995
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703907161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329703916226
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329703917476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703918710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703922164
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329703922410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703922525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703983175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703987226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329703989339
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703995125
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703995142
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329703997636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329704002998
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329704004105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704005916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704008476
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329704008694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704008958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704024959
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329704026984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329704028869
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329704030478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704031510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704034095
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1329704034330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704034754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329704056593
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329704058152
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329704067444
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1329704069239
