what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330056251797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330056251797
java.vm.specification.version,sysinfo,,,"1.0",1330056251797
java.vm.vendor,sysinfo,,,"Apple Inc.",1330056251797
java.vm.version,sysinfo,,,"20.4-b02-402",1330056251797
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330056251800
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201110251051,"org.eclipse.wb.discovery.ui",1330056251894
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1330056252531
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1330056252798
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1330056252822
error,log,,,"DDMS files not found: /Users/Dannis/Applications/eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Users/Dannis/Applications/eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Users/Dannis/Applications/eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1330056252897
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1330056253016
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1330056253225
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1330056253226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056253490
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330056253659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056376184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056376592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056407512
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330056407544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056410695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056416454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1330056416491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056456689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056466099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1330056466122
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330056466726
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330056468960
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330056469015
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1330056469059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056484873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056496343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056498549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056538469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056542648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056688908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056697703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056869661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056872114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056879377
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330056881784
started,bundle,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch",1330056883865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056883921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056886674
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330056892970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056893068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056990887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330056991482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330057054835
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330057057276
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1330058433446
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1330058433447
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1330058433453
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1330058433473
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330058433489
