what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052071996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052095058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1330052095146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052110236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052138164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1330052138215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052144289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052152006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052155588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052159136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052190710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052197152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052204301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1330052204393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052212988
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052275921
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052288111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052315314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052323315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052359165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1330052359238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052364633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052369629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052371341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052374133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052375902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052378980
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052380486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052383253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052384686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052388356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052391517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330052400585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052401653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052412683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052414453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052422275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052423701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052427382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330052428629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052429115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052431300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052439142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052445765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052448185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052449425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052453948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052460342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052478998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052484349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052518088
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052524585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052547575
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052549123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052556609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052603285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052605921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052607217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052607469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052635493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052645639
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330052646711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052647888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052650347
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330052651692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052654675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052655930
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052658589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052679913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330052682873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330052686325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052688061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1330052695086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052697141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052705107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052705892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330052709947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330052711572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052713768
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330052715436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052716646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052722356
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330052722963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052724550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052786256
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052799373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330052803836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052805104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052806406
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330052807336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052809034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052811636
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330052812591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052812601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052855701
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330052859767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052900337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052907038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052920319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052934592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052939181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052942259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052945644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052994510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330052999356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053000997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053002461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053016381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053020439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053048000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053049740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053071810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053078809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053083778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053085292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053103036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330053107384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053107825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053111177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053112297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053113845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053114951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053116607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053119865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053124353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053125280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053137936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053138939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053175752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053177258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053234256
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330053237044
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330053241466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330053247227
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330053248433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330053253549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053256183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053257081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053257776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053264727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330053266076
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330053266994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053268113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053271145
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1330053271433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053272183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053308550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053311192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053325911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053335380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053336314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053336934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053446395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053448895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053475117
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1330053480588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053489586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053490984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053492070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053493392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330053494464
